Catégorie,Description,plateforme,lien,source,date,intégré,couverture
Logistique,Zones d’Activités Logistiques,-,CCI Normandie pour le compte de l'asso de filière Logistique Seine Normandie,CCI Normandie,2017,oui,Paris Seine Normandie
Environnement et risques,Nombre de cavités souterraines par commune,georisques.fr,http://www.georisques.gouv.fr/dossiers/telechargement,georisques.fr,NA,oui,Paris Seine Normandie
Environnement et risques,zones inondables,georisques.fr,http://www.georisques.gouv.fr/dossiers/telechargement,georisques.fr,NA,oui,Paris Seine Normandie
Environnement et risques,Nucléaire,data.gouv,https://www.data.gouv.fr/fr/datasets/liste-des-reacteurs-nucleaires-en-france-nd/,nosDonnées.fr,2012,oui,Paris Seine Normandie
Environnement et risques,Météorologie à la station,Météo France,https://donneespubliques.meteofrance.fr/?fond=produit&id_produit=115&id_rubrique=38,Météo France,2016,oui,Paris Seine Normandie
Environnement et risques,Parcs naturels nationaux et régionaux,OpenStreetMap,openstreetmap.org,OpenStreetMap,2018,oui,Paris Seine Normandie
Environnement et risques,Zones protégées Natura 2000,data.gouv,https://www.data.gouv.fr/fr/datasets/inpn-donnees-du-programme-natura-2000/ ,INPN,2016,oui,Paris Seine Normandie
Énergie,Parc éolien sous forme de points,data.gouv,https://www.data.gouv.fr/en/datasets/les-parcs-eoliens-terrestres-de-normandie-representes-par-des-points-1/,DREAL Normandie,2018,oui,Paris Seine Normandie
Énergie,Barrages,eurogeographics,https://eurogeographics.org/products-and-services/open-data/opendata-downloads/ ,eurogeographics,2017,oui,Paris Seine Normandie
Environnement et risques,Bornes de Recharge pour Véhicules Électriques ,data.gouv,https://www.data.gouv.fr/fr/datasets/fichier-consolide-des-bornes-de-recharge-pour-vehicules-electriques-irve/,Etalab,2016,oui,Paris Seine Normandie
Tourisme,Fréquentation des hébergements collectifs touristiques en 2017,INSEE,https://www.insee.fr/fr/statistiques/2012672#tableau-TCRD_020_tab1_departements,INSEE,2017,oui,Paris Seine Normandie
Tourisme,Etablissements d'hébergements touristiques en 2018 ,INSEE,https://www.insee.fr/fr/statistiques/2012688,INSEE,2018,oui,Paris Seine Normandie
Tourisme,Parcs naturels nationaux et régionaux,OpenStreetMap,openstreetmap.org,OpenStreetMap,2018,oui,Paris Seine Normandie
Tourisme,Points d’intérêts naturels,eurogeographics,https://eurogeographics.org/products-and-services/open-data/opendata-downloads/,eurogeographics,2017,oui,Paris Seine Normandie
Tourisme,Patrimoine fluvial remarquable,IAU-IDF,http://data.iau-idf.fr/datasets/e646de156cf84c298416a430e3f6f288_3,IAU-IDF,2018,oui,Île-de-France
Tourisme,Patrimoine mondial de l’UNESCO,IAU-IDF,http://data.iau-idf.fr/datasets/8affb5badbab4b0dbb129aec441396b4_6,IAU-IDF,2017,oui,Île-de-France
Tourisme,Ville et pays d’art et d’histoire,IAU-IDF,http://data.iau-idf.fr/datasets/1842c881e553404981c46501ef2cb3a2_7,IAU-IDF,2017,oui,Île-de-France
Tourisme,Châteaux et leur parc,IAU-IDF,http://data.iau-idf.fr/datasets/14347f5e8654490bbbd446a8f8ed0bf4₂,IAU-IDF,2017,oui,Île-de-France
Tourisme,Les plus beaux villages de France,Les plus beaux villages de France,http://www.les-plus-beaux-villages-de-france.org/en/the-most-beautiful-villages-of-france?filter0=&filter1=140,Les plus beaux villages de France,2018,oui,Paris Seine Normandie
Tourisme,Hôtels classés,data.gouv,https://www.data.gouv.fr/fr/datasets/la-carte-des-hotels-classes-en-ile-de-france-idf/,Atout France,2016,oui,Île-de-France
Tourisme,Campings classés,data.gouv,https://www.data.gouv.fr/fr/datasets/la-carte-des-hotels-classes-en-ile-de-france-idf/,Atout France,2016,oui,Île-de-France
