id,code_insee2,commune_arrivee,code_insee1,commune_depart,migration,X1,Y1,X2,Y2,année,population_2014_1,population_2014_2,categorie_1,categorie_2,is_PSN_1,is_PSN_2
123,38158,Eybens,38185,Grenoble,218,6,45,6.0,45.0,2014.0,160779,10153,grande ville,petite ville,0,0
124,38158,Eybens,38151,Échirolles,129,6,45,6.0,45.0,2014.0,35875,10153,moyenne ville,petite ville,0,0
125,38169,Fontaine,38185,Grenoble,411,6,45,6.0,45.0,2014.0,160779,22366,grande ville,moyenne ville,0,0
126,38169,Fontaine,38474,Sassenage,119,6,45,6.0,45.0,2014.0,11736,22366,petite ville,moyenne ville,0,0
127,38229,Meylan,38185,Grenoble,254,6,45,6.0,45.0,2014.0,160779,17323,grande ville,petite ville,0,0
128,38239,Moirans,38185,Grenoble,110,6,45,6.0,45.0,2014.0,160779,7989,grande ville,petite ville,0,0
129,38249,Montbonnot-Saint-Martin,38185,Grenoble,115,6,45,6.0,45.0,2014.0,160779,4986,grande ville,village et bourg,0,0
130,38309,Poisat,38185,Grenoble,105,6,45,6.0,45.0,2014.0,160779,2174,grande ville,village et bourg,0,0
131,38317,Le Pont-de-Claix,38185,Grenoble,206,6,45,6.0,45.0,2014.0,160779,10924,grande ville,petite ville,0,0
132,38382,Saint-Égrève,38185,Grenoble,315,6,45,6.0,45.0,2014.0,160779,15620,grande ville,petite ville,0,0
133,38421,Saint-Martin-d'Hères,38185,Grenoble,853,6,45,6.0,45.0,2014.0,160779,38100,grande ville,moyenne ville,0,0
134,38421,Saint-Martin-d'Hères,26362,Valence,155,5,45,6.0,45.0,2014.0,62150,38100,grande ville,moyenne ville,0,0
135,38423,Saint-Martin-le-Vinoux,38185,Grenoble,302,6,45,6.0,45.0,2014.0,160779,5626,grande ville,petite ville,0,0
136,38474,Sassenage,38185,Grenoble,171,6,45,6.0,45.0,2014.0,160779,11736,grande ville,petite ville,0,0
137,38474,Sassenage,38169,Fontaine,156,6,45,6.0,45.0,2014.0,22366,11736,moyenne ville,petite ville,0,0
138,38485,Seyssinet-Pariset,38185,Grenoble,364,6,45,6.0,45.0,2014.0,160779,12133,grande ville,petite ville,0,0
139,38486,Seyssins,38185,Grenoble,168,6,45,6.0,45.0,2014.0,160779,7074,grande ville,petite ville,0,0
140,38516,La Tronche,38185,Grenoble,244,6,45,6.0,45.0,2014.0,160779,6741,grande ville,petite ville,0,0
141,38516,La Tronche,38133,Coublevie,260,6,45,6.0,45.0,2014.0,4688,6741,village et bourg,petite ville,0,0
142,38563,Voiron,38185,Grenoble,113,6,45,6.0,45.0,2014.0,160779,20162,grande ville,moyenne ville,0,0
143,69266,Villeurbanne,38185,Grenoble,195,6,45,5.0,46.0,2014.0,160779,148543,grande ville,grande ville,0,0
144,69266,Villeurbanne,34172,Montpellier,104,4,44,5.0,46.0,2014.0,275318,148543,metropole,grande ville,0,0
145,69266,Villeurbanne,42218,Saint-Étienne,133,4,45,5.0,46.0,2014.0,170761,148543,grande ville,grande ville,0,0
146,69266,Villeurbanne,69256,Vaulx-en-Velin,294,5,46,5.0,46.0,2014.0,45294,148543,moyenne ville,grande ville,0,0
147,69266,Villeurbanne,69259,Vénissieux,255,5,46,5.0,46.0,2014.0,62575,148543,grande ville,grande ville,0,0
148,69266,Villeurbanne,69286,Rillieux-la-Pape,111,5,46,5.0,46.0,2014.0,30529,148543,moyenne ville,grande ville,0,0
149,69266,Villeurbanne,69029,Bron,190,5,46,5.0,46.0,2014.0,39283,148543,moyenne ville,grande ville,0,0
150,69266,Villeurbanne,69034,Caluire-et-Cuire,219,5,46,5.0,46.0,2014.0,42494,148543,moyenne ville,grande ville,0,0
151,69266,Villeurbanne,69275,Décines-Charpieu,120,5,46,5.0,46.0,2014.0,27207,148543,moyenne ville,grande ville,0,0
152,73065,Chambéry,38185,Grenoble,175,6,45,6.0,46.0,2014.0,160779,59490,grande ville,grande ville,0,0
153,73065,Chambéry,73008,Aix-les-Bains,155,6,46,6.0,46.0,2014.0,30291,59490,moyenne ville,grande ville,0,0
